0	2	5	4	2	2	0
1	2	11	3	3	2	2
1	2	10	6	0	4	2
0	3	9	5	4	1	2
0	1	14	3	3	2	2
0	1	9	7	3	4	4
0	0	11	9	2	0	5
0	3	9	8	3	2	0
1	2	12	4	3	5	4
0	3	15	3	0	2	1
0	1	4	4	4	2	1
1	3	19	6	2	0	3
1	2	11	7	1	3	1
1	1	14	2	2	1	1
1	1	8	6	3	1	3
0	2	19	7	2	3	2
0	0	11	2	1	0	0
2	2	7	5	1	2	1
0	1	8	1	6	1	5
0	3	7	4	3	7	3
0	0	5	4	3	0	3
0	1	10	1	2	2	3
1	1	9	4	2	3	3
0	0	8	1	2	2	2
1	0	4	5	1	1	2
0	0	6	8	4	2	4
0	2	7	4	5	0	4
3	0	8	4	2	4	4
0	2	14	5	2	3	1
0	0	13	3	4	2	6
0	1	14	4	5	0	1
2	0	15	2	5	4	3
1	3	6	5	3	2	2
0	0	15	7	7	2	2
0	5	4	4	2	2	4
3	1	8	2	4	4	5
1	1	12	3	4	2	2
0	0	11	3	5	1	2
0	0	15	4	3	3	2
0	2	15	4	6	1	4
0	2	7	5	0	3	2
1	0	13	2	3	1	1
1	1	13	6	5	1	4
0	1	8	7	3	3	3
1	2	5	5	3	0	3
1	0	11	4	3	4	4
1	3	13	4	4	1	2
0	0	6	3	1	2	2
1	0	11	3	4	3	3
0	4	8	5	2	1	4
2	1	10	7	4	0	2
1	1	11	2	2	2	2
0	1	9	7	2	0	4
1	0	5	2	2	5	3
1	1	8	4	4	4	3
2	2	10	9	3	4	6
2	1	7	5	3	1	0
0	1	10	1	0	0	2
0	1	9	3	3	2	1
2	1	10	2	8	1	4
0	1	10	7	4	1	0
0	0	10	5	4	0	3
1	1	10	3	4	3	4
0	1	14	2	3	2	3
0	1	12	3	5	1	2
0	0	13	4	3	3	5
0	1	14	4	4	5	2
1	3	8	9	1	1	5
0	2	7	3	1	1	2
0	1	11	3	4	1	2
1	2	5	0	3	4	3
0	1	10	3	3	2	5
1	2	7	8	1	3	2
0	1	8	6	3	1	2
0	1	15	2	3	3	3
0	0	8	2	3	3	2
0	3	9	4	4	3	3
1	2	9	3	3	2	2
0	2	11	3	2	2	4
0	1	7	4	3	3	3
1	3	12	5	0	1	1
0	1	5	3	3	2	3
0	0	12	7	0	1	3
1	0	9	5	2	3	5
0	0	15	3	3	2	2
0	1	11	3	5	1	4
5	1	9	3	1	2	6
1	1	5	5	2	1	2
0	0	9	3	2	1	2
0	0	14	5	5	2	1
0	2	9	4	2	2	4
0	0	8	2	2	2	6
2	1	8	5	0	1	1
0	1	9	4	2	0	3
0	0	14	4	3	3	3
1	2	14	2	3	3	5
1	0	6	2	2	3	0
1	1	12	5	4	1	3
0	0	2	3	2	1	3
1	1	7	2	1	2	5
0	1	8	3	3	1	3
0	0	9	4	2	2	5
0	1	11	4	1	3	3
0	0	9	4	2	1	2
1	1	7	8	3	2	5
0	2	7	3	5	1	2
0	4	11	5	3	0	2
1	1	13	6	2	2	4
0	2	7	8	4	3	4
1	0	13	1	0	2	2
1	0	7	3	1	1	3
0	0	10	2	5	8	2
0	2	10	4	0	3	7
1	1	8	4	4	3	3
1	1	12	8	2	0	5
0	1	11	1	3	1	1
1	3	10	3	1	2	2
1	0	7	2	5	3	2
2	0	10	1	5	2	4
1	0	4	3	2	2	4
1	3	5	0	1	1	2
0	0	15	5	3	1	1
0	1	12	3	2	2	3
0	0	10	3	2	1	5
0	0	7	4	4	0	3
0	1	3	4	0	1	3
0	0	10	4	2	0	3
0	1	14	5	1	3	3
0	0	14	7	3	2	2
2	0	6	2	3	2	3
0	0	11	2	0	2	7
1	1	13	6	10	0	0
1	1	7	7	6	1	4
1	0	9	4	2	1	3
0	1	10	6	4	2	4
3	1	12	3	1	1	3
0	1	10	3	4	0	3
0	0	15	4	3	2	2
0	1	9	2	5	2	3
1	0	12	3	3	1	0
0	1	5	3	2	0	1
0	1	6	6	1	5	5
0	1	11	1	1	4	3
0	0	11	6	1	2	3
0	0	5	4	5	2	2
0	0	11	1	1	2	4
0	0	6	8	2	1	1
0	0	4	2	4	4	1
0	1	7	5	3	3	4
0	3	6	4	2	1	0
1	0	8	4	3	2	2
0	1	9	3	2	8	3
0	1	11	5	4	0	4
1	0	5	6	5	0	4
0	0	12	2	4	2	4
0	1	12	10	4	1	3
0	1	10	4	4	1	4
2	4	11	3	3	2	1
1	2	8	4	1	4	2
0	3	9	5	1	4	2
1	0	6	1	4	2	3
0	1	8	6	1	1	1
0	1	8	4	3	2	3
0	2	7	1	3	2	0
1	3	8	3	5	2	1
0	2	13	0	2	0	3
1	0	9	4	5	1	1
1	0	10	1	4	1	3
1	1	8	2	0	3	4
1	3	8	6	2	2	6
1	2	11	4	1	0	3
0	1	10	4	2	4	1
0	2	6	1	2	3	5
1	1	7	4	5	0	3
1	0	10	6	2	2	3
0	1	7	3	2	0	0
1	0	6	6	4	5	3
0	1	9	3	1	1	2
0	0	10	5	3	1	0
0	1	6	3	3	2	3
0	2	8	4	5	3	1
0	0	12	5	1	3	8
0	2	7	4	3	1	3
0	1	8	4	3	2	2
1	1	11	1	3	3	1
0	0	7	3	2	5	2
0	2	13	5	3	1	4
0	1	10	3	3	1	5
0	0	14	2	1	3	6
0	0	10	0	0	1	5
1	2	8	3	2	3	0
1	4	2	3	1	6	1
1	2	8	4	6	2	5
0	1	12	6	4	2	5
2	1	11	4	4	1	2
0	4	7	0	4	1	3
0	0	4	4	2	0	1
2	1	2	3	3	0	1
0	1	9	3	6	2	3
0	0	11	2	3	1	5
2	2	10	9	2	2	1
0	2	10	4	2	2	2
1	2	5	5	1	2	2
1	2	9	4	3	1	2
0	2	9	4	1	3	5
1	2	7	4	2	2	5
0	2	12	4	2	1	0
1	1	9	3	1	2	1
0	2	10	8	1	5	3
0	1	6	3	1	2	4
3	1	4	5	3	1	0
0	2	7	4	3	2	3
1	0	9	3	3	2	2
0	0	11	3	1	3	3
1	1	9	2	4	4	0
0	1	7	4	5	0	3
0	3	9	3	5	3	1
1	1	3	0	3	3	5
0	0	8	2	2	1	1
2	1	9	6	0	0	3
0	3	7	3	3	3	2
1	1	9	3	1	2	3
1	1	7	5	2	3	5
0	1	7	4	2	4	4
0	3	7	2	2	0	3
0	1	11	3	2	0	2
1	0	10	4	4	6	4
2	2	9	0	0	0	3
0	0	9	5	3	3	5
1	2	12	1	1	1	2
1	2	8	4	0	2	4
1	0	9	0	1	3	2
1	3	8	8	6	2	1
2	1	8	3	7	1	1
1	0	8	3	7	3	5
0	0	8	5	2	4	0
1	1	9	1	4	2	0
0	0	10	2	4	3	2
0	0	8	2	0	0	5
2	0	3	4	1	0	3
1	0	14	2	2	3	3
2	1	12	8	5	1	1
2	0	11	0	5	2	2
0	1	6	1	3	2	0
1	3	8	3	1	2	2
0	1	7	5	2	1	3
0	0	6	2	2	2	3
1	1	6	4	2	4	2
0	0	12	1	2	1	4
0	1	7	2	3	1	4
0	0	8	7	1	3	0
0	1	8	5	4	0	3
0	0	7	9	3	4	0
0	2	8	2	5	1	1
0	0	16	5	2	2	4
2	0	9	2	3	4	4
0	2	8	5	4	1	4
1	0	8	3	6	2	2
1	2	6	4	4	2	3
0	1	9	2	3	1	5
0	0	5	8	2	1	4
0	4	15	3	3	2	2
4	1	5	2	1	2	4
0	0	6	4	1	4	4
0	1	9	2	3	2	3
0	0	8	3	1	2	4
0	0	13	1	3	3	3
0	1	12	7	2	3	4
1	1	10	1	3	3	3
2	2	8	2	5	2	2
0	0	6	3	3	6	5
2	2	6	6	1	2	3
0	2	12	2	4	1	3
1	1	9	3	1	2	5
1	3	10	3	4	1	3
0	2	13	5	1	0	1
2	1	9	2	6	4	4
1	1	9	8	1	1	2
0	1	9	2	1	5	2
0	1	9	0	0	3	3
1	1	7	3	5	0	2
1	2	6	5	4	1	5
1	1	6	2	3	4	0
1	1	7	5	2	1	2
0	2	8	3	3	3	1
0	4	6	2	2	0	4
0	3	10	3	3	3	2
1	0	10	0	4	1	2
1	3	9	2	4	0	3
0	1	14	1	7	4	4
2	1	9	5	2	1	3
0	0	8	3	1	1	1
1	2	6	8	5	1	0
0	1	3	7	2	3	2
0	1	4	3	0	2	1
1	2	9	5	3	1	4
2	0	5	3	3	4	0
0	2	9	2	3	1	0
3	1	12	5	4	1	3
0	2	5	5	3	4	5
0	1	9	2	4	2	4
1	2	10	2	2	4	2
0	2	7	9	0	0	1
0	1	3	1	4	1	4
2	3	5	2	4	2	4
2	1	5	4	3	4	2
0	2	9	4	0	3	0
3	1	8	1	3	1	7
0	1	9	2	3	2	5
0	1	7	5	3	1	1
0	2	7	0	2	2	2
0	3	7	3	0	2	7
0	1	12	1	0	2	2
1	3	10	4	5	2	3
1	0	7	3	4	1	4
0	4	6	4	3	0	3
1	1	7	4	2	1	4
1	0	10	6	2	3	1
0	0	11	3	3	0	4
1	1	9	1	2	1	5
3	1	7	3	3	3	2
1	1	9	4	1	1	2
0	0	7	4	1	1	1
0	1	7	5	1	1	4
0	3	4	5	2	3	1
0	1	8	7	2	2	5
0	1	5	6	1	2	3
0	0	11	3	3	2	1
0	1	6	3	2	1	3
1	2	9	3	1	1	4
1	3	6	1	4	3	1
0	3	7	2	2	2	4
0	3	15	7	4	1	1
0	1	9	3	1	1	0
0	3	8	4	3	2	2
2	2	6	7	2	3	3
1	3	4	1	3	3	1
2	2	5	5	0	3	0
1	0	13	7	1	1	3
1	0	5	3	2	3	1
0	1	8	5	4	4	1
1	2	6	5	4	0	3
0	0	11	4	2	3	2
0	1	10	1	2	3	3
0	4	8	4	6	0	2
1	0	13	2	4	4	1
0	3	13	3	1	1	3
1	0	5	6	2	3	1
0	3	8	3	3	4	2
0	0	3	5	5	2	3
2	0	5	1	5	3	5
0	2	6	5	2	1	3
0	1	11	2	3	4	3
1	3	13	7	3	2	1
2	2	6	6	2	1	2
0	0	7	4	3	6	1
1	1	11	7	2	2	3
0	1	2	3	2	3	0
0	1	7	3	4	1	3
1	0	6	1	6	3	0
1	2	9	6	3	2	4
0	2	9	4	2	3	7
0	1	7	3	3	1	2
0	0	9	2	4	2	4
1	1	4	10	3	4	6
0	2	8	2	3	2	7
0	1	7	3	1	4	2
1	4	7	4	3	3	1
1	1	11	5	1	5	1
0	2	6	3	3	1	1
1	3	7	3	5	1	4
0	2	4	3	5	0	3
1	1	2	5	3	1	3
0	2	9	3	6	1	2
0	0	6	2	2	5	3
0	0	6	8	2	1	3
0	0	8	2	3	1	3
1	0	10	2	5	0	2
0	2	7	4	1	0	3
3	1	11	9	4	2	6
0	0	9	5	2	2	3
0	3	8	5	1	4	2
0	1	5	5	4	1	2
1	2	7	2	6	1	1
2	2	3	2	6	2	1
1	0	5	4	2	4	2
0	1	9	1	1	1	1
1	1	5	5	2	4	3
0	4	11	2	6	0	3
1	0	4	7	6	2	1
0	1	6	2	6	1	3
1	1	9	4	3	2	4
2	0	14	4	2	2	3
2	1	6	2	3	1	6
0	1	12	3	1	4	7
0	0	4	3	4	2	4
0	1	11	3	6	1	2
1	1	5	3	1	5	2
3	2	9	4	6	1	3
0	0	9	6	2	4	4
1	2	10	3	1	0	4
0	1	4	3	2	2	0
1	3	3	1	2	4	2
0	2	8	2	2	2	3
0	3	13	1	1	3	2
0	1	11	2	3	3	1
0	1	6	3	0	1	0
0	1	10	1	4	1	4
0	2	6	2	5	3	1
1	1	9	2	2	3	2
0	1	8	5	0	2	4
0	1	8	2	8	2	2
1	0	6	1	4	4	6
2	1	10	4	1	2	2
0	1	7	2	0	2	3
2	1	8	5	3	3	3
2	1	11	3	2	1	2
3	0	4	3	4	1	6
2	0	6	3	2	0	5
0	1	10	1	3	0	3
0	1	6	5	3	2	3
0	0	10	1	3	1	3
1	1	7	2	4	3	4
0	2	10	3	1	3	1
0	3	3	2	5	1	6
2	1	13	5	2	1	2
3	0	7	3	2	2	3
1	4	8	3	2	3	4
1	2	8	5	2	2	3
1	0	6	2	1	3	4
0	0	3	3	2	4	4
0	1	6	3	4	0	3
1	2	10	5	3	2	7
0	2	8	1	5	1	5
0	1	4	2	3	1	1
1	0	12	0	3	3	2
0	1	10	3	3	2	4
1	0	8	3	3	5	4
0	3	3	5	2	2	3
0	2	8	1	1	3	5
1	1	5	4	2	0	3
1	1	13	3	4	0	2
0	0	3	3	1	3	3
0	2	11	3	2	1	3
0	1	9	2	6	3	3
0	3	6	1	3	3	5
1	0	16	2	7	3	3
0	1	9	2	2	1	2
2	0	9	2	6	2	5
0	0	8	3	4	3	2
0	0	8	6	1	0	1
0	3	9	5	3	1	3
0	2	8	3	2	0	2
0	0	6	3	3	2	1
1	1	6	3	1	2	2
1	1	5	3	3	1	1
2	2	9	7	3	0	1
0	1	7	1	3	1	3
0	4	10	5	3	1	1
2	3	9	7	3	6	0
0	0	8	2	2	2	4
0	4	4	2	1	3	4
0	0	8	7	2	1	4
2	1	8	4	4	1	2
2	0	10	7	3	4	5
1	1	11	3	2	4	2
0	0	6	6	1	1	1
0	3	9	3	4	1	4
0	1	8	5	3	1	1
0	1	6	2	6	3	2
1	1	1	2	1	1	1
0	1	9	1	2	2	4
0	3	8	1	3	2	1
1	0	10	3	3	1	1
1	1	8	4	1	3	1
0	0	8	0	2	2	1
0	1	8	6	1	1	2
2	1	8	4	4	1	2
0	0	10	2	1	1	2
1	2	8	3	4	0	1
0	2	9	3	4	1	3
0	2	7	4	1	4	3
0	1	8	3	1	3	7
1	0	11	4	4	2	3
0	1	2	1	3	2	2
1	2	7	0	6	3	1
1	3	8	2	6	4	0
1	2	8	2	2	2	2
0	3	4	3	3	5	2
0	2	9	3	4	3	1
0	1	9	4	1	0	1
0	1	7	5	0	1	0
0	2	12	3	3	7	1
2	0	4	7	5	2	3
0	1	12	6	3	2	1
0	0	10	4	3	2	3
1	0	9	0	3	1	4
1	1	5	4	2	2	1
0	1	6	5	0	3	4
0	3	10	5	5	2	2
1	3	9	8	2	1	1
0	1	2	2	1	5	2
1	3	12	3	0	1	1
0	0	6	8	2	2	3
0	3	11	5	4	0	2
0	0	5	6	3	2	3
1	0	4	2	0	1	2
0	0	6	1	3	2	1
0	0	9	0	4	0	5
1	1	6	3	3	2	1
0	0	8	3	3	1	1
0	1	7	3	0	2	2
0	0	5	2	3	2	3
0	0	11	2	9	3	2
1	0	7	3	3	4	4
0	2	8	3	1	4	1
0	2	6	5	3	3	0
1	1	9	7	3	0	4
0	1	9	5	3	2	2
2	1	6	6	4	1	2
0	0	6	3	2	1	4
0	0	6	3	4	0	3
0	1	13	6	1	1	2
0	1	7	7	3	2	1
1	1	17	6	1	2	2
2	0	6	1	0	2	2
1	1	6	4	3	1	1
0	2	6	5	4	4	0
1	0	11	1	1	1	6
0	3	5	3	3	2	2
1	1	6	5	3	3	3
0	0	4	1	1	2	3
2	2	9	2	3	3	1
1	0	9	5	1	0	3
2	2	10	4	0	1	1
0	0	7	2	3	2	2
0	3	4	1	3	1	2
1	1	13	4	3	0	3
0	1	6	2	3	0	6
1	1	2	3	2	1	1
0	0	8	4	1	1	2
0	1	11	5	4	3	2
0	0	8	2	5	3	1
0	2	7	3	4	3	1
1	0	9	3	3	3	1
0	2	10	6	1	1	2
0	2	3	3	1	1	2
0	0	6	1	3	2	1
0	0	3	3	6	2	2
0	1	6	1	0	1	1
1	2	6	2	5	1	6
1	2	8	2	2	1	4
0	0	6	1	5	0	0
1	0	12	6	3	2	3
0	0	5	4	0	1	6
0	2	9	3	2	3	2
0	0	4	2	1	0	1
0	2	6	5	4	7	2
0	3	6	1	1	1	5
0	1	9	2	0	2	1
0	2	6	7	2	3	7
0	1	8	3	1	1	2
2	0	8	1	6	1	3
0	0	8	7	4	1	3
0	1	7	5	2	1	0
0	2	11	2	6	4	1
0	1	5	2	3	1	2
0	0	4	5	1	9	1
0	0	13	4	3	2	4
1	1	8	2	1	2	1
1	2	5	4	1	1	1
0	2	4	6	3	3	1
0	1	8	3	2	2	4
1	0	10	6	4	5	2
0	0	5	5	1	1	4
0	0	6	5	3	3	1
0	1	9	4	2	2	2
1	1	8	6	2	2	2
0	1	3	2	0	2	1
1	1	6	4	3	0	5
0	1	7	3	4	2	3
0	0	8	3	1	1	0
1	1	8	2	1	2	2
0	0	9	3	1	1	1
1	1	8	4	3	3	4
0	0	8	4	3	5	1
0	2	6	4	2	2	6
0	2	3	3	3	4	1
0	1	7	4	3	1	4
0	1	3	2	2	2	2
1	0	8	2	1	4	2
1	2	6	3	7	0	2
1	0	7	4	2	1	1
0	1	7	0	1	4	1
1	3	5	2	2	0	1
1	0	7	2	5	1	2
0	1	8	2	3	2	3
0	0	4	0	1	0	4
1	1	4	4	3	3	1
0	1	4	0	4	0	4
0	0	3	5	5	2	5
0	0	13	3	2	4	5
0	0	6	1	4	4	2
2	0	4	3	1	4	3
1	2	7	1	0	7	4
2	1	3	6	2	2	4
1	0	4	2	1	2	2
1	1	3	6	0	1	1
1	0	11	3	4	4	1
1	0	6	6	2	1	1
0	2	6	4	5	2	4
0	0	9	1	3	4	3
1	2	6	1	6	0	4
0	4	9	2	3	1	1
1	2	8	3	4	2	0
0	0	5	2	2	1	3
0	2	14	4	4	1	1
1	0	5	2	2	2	3
0	0	9	5	0	3	1
1	1	10	3	0	1	2
0	0	7	2	2	2	2
0	1	4	4	4	1	1
1	0	5	0	7	4	1
1	2	10	4	1	2	1
2	0	3	3	3	1	3
2	0	9	2	3	4	2
0	0	4	4	3	2	2
0	0	5	4	1	4	3
0	3	5	4	2	3	5
3	2	9	2	2	2	1
1	0	6	5	4	1	3
0	2	7	2	3	2	2
0	0	4	3	1	2	1
0	2	10	1	4	4	3
0	2	7	4	4	1	2
3	2	3	3	1	1	5
0	0	11	1	2	2	1
0	0	8	3	2	3	1
0	1	8	4	5	3	5
2	2	4	3	3	2	1
0	3	9	3	1	1	1
1	0	6	1	7	3	1
2	0	6	6	2	3	2
0	1	9	2	2	1	3
0	1	6	0	2	3	2
0	1	6	3	1	2	1
1	0	7	0	1	3	2
0	0	12	3	1	1	2
1	3	6	3	2	1	3
0	2	11	1	3	2	4
0	2	6	3	4	0	3
1	3	5	2	1	0	0
1	4	10	4	3	1	0
0	0	7	2	4	4	3
2	0	9	4	3	3	3
0	0	10	4	1	5	2
1	1	8	3	0	2	2
1	1	2	2	1	4	2
0	0	10	3	5	3	3
0	2	2	5	4	3	1
1	0	12	3	0	0	1
1	0	10	7	3	1	2
0	0	6	6	2	0	1
2	0	9	7	3	3	1
2	0	8	4	3	1	5
0	2	9	3	3	1	1
0	1	7	2	1	2	2
1	2	7	1	3	1	0
1	3	9	1	2	1	2
0	5	11	6	2	0	0
0	2	7	3	2	0	1
1	1	7	3	1	0	2
0	2	9	3	2	5	2
1	1	13	3	5	2	3
1	0	5	4	2	2	0
0	1	5	5	4	0	2
2	3	11	4	5	0	0
0	3	1	2	2	2	3
0	1	2	2	0	2	5
1	0	6	0	1	2	1
0	2	9	3	1	1	8
1	0	6	4	1	2	1
0	1	6	2	5	2	4
1	1	2	2	3	2	0
3	1	4	2	2	0	1
1	1	11	1	1	2	6
0	0	6	3	1	3	0
0	0	1	4	0	1	3
0	2	5	2	3	2	4
0	1	7	1	4	1	3
0	0	11	7	3	2	6
0	0	8	2	4	0	2
0	1	3	5	4	2	1
0	1	7	4	2	4	3
1	2	5	3	3	1	2
0	0	8	7	2	1	0
1	1	11	5	0	0	2
2	1	8	5	6	2	1
0	0	7	1	3	2	0
0	0	5	4	3	1	3
0	0	8	2	2	5	2
1	0	7	4	3	2	1
2	1	9	4	6	4	0
1	0	6	2	5	0	4
0	0	11	2	2	3	2
0	1	4	3	6	0	1
0	0	4	2	1	2	1
0	1	9	3	1	0	3
0	1	9	2	1	0	2
0	0	10	4	5	2	4
1	1	8	2	3	2	2
1	0	9	7	1	2	5
1	0	3	2	2	4	3
1	2	6	2	0	2	2
0	0	6	1	1	1	2
1	1	4	5	1	2	3
0	0	6	3	1	2	2
1	1	6	3	4	0	3
0	3	4	2	4	2	2
0	1	2	4	3	0	2
1	2	4	6	4	4	3
0	2	8	2	2	2	1
1	3	10	1	4	2	0
0	1	4	3	1	2	6
0	0	1	2	2	3	1
2	2	6	5	1	0	5
0	1	8	3	2	2	4
1	2	6	3	2	1	1
0	2	6	3	6	2	1
0	0	3	4	2	2	1
1	1	8	4	3	0	1
0	2	8	3	7	0	4
1	1	5	5	2	1	1
0	1	7	4	4	2	5
0	3	5	4	6	3	3
0	1	7	3	2	1	5
1	0	10	3	4	1	2
0	1	8	4	0	3	2
0	0	2	4	4	7	0
0	0	1	1	5	1	3
2	0	4	5	2	2	3
0	4	10	3	7	2	2
0	0	5	0	2	2	2
1	2	12	1	2	2	2
0	0	4	5	3	3	0
1	0	6	4	1	0	0
0	2	3	2	2	1	7
1	1	8	2	7	3	1
1	0	5	3	1	2	3
0	2	10	0	1	5	2
0	2	3	2	0	2	2
1	1	8	3	2	1	3
0	2	6	3	0	1	5
0	1	2	3	6	4	2
0	0	4	1	2	1	3
0	1	3	7	2	2	3
0	1	11	7	0	0	4
0	0	11	2	4	2	2
0	0	4	3	3	2	3
1	3	6	5	4	3	1
0	1	7	6	2	0	3
0	1	2	5	5	0	1
0	1	6	1	1	2	1
1	1	6	5	2	1	2
0	1	4	5	1	1	0
0	0	7	3	2	0	3
2	2	6	5	2	0	2
0	0	6	7	0	1	2
0	1	6	4	4	5	2
1	2	5	2	1	1	1
0	0	3	1	4	2	1
2	0	7	5	1	1	2
0	3	6	2	1	3	0
0	1	4	1	3	6	2
2	1	3	1	2	1	0
1	1	6	2	0	0	6
0	1	4	5	1	3	3
0	1	8	3	4	5	4
1	1	6	3	2	2	1
1	1	4	3	1	0	1
0	0	6	3	1	1	1
0	1	3	3	2	0	1
0	0	9	4	2	1	3
0	1	4	1	4	4	2
2	1	5	3	3	3	3
2	1	12	2	3	2	1
1	1	4	3	0	3	6
0	0	6	2	3	2	4
0	2	7	3	3	1	2
1	0	7	3	5	2	1
0	0	9	2	0	2	0
1	2	9	1	4	1	1
0	0	4	2	3	4	3
0	1	10	4	2	1	2
1	1	5	4	2	2	1
2	0	10	4	0	1	3
0	2	8	2	1	6	6
1	0	6	3	3	1	4
0	1	6	1	1	0	3
1	0	6	3	5	2	2
0	1	4	5	5	1	3
2	2	9	4	1	3	4
2	2	3	2	4	2	4
0	3	6	1	2	1	5
0	1	7	4	3	3	3
0	0	4	4	5	3	0
1	2	7	3	2	1	3
0	0	4	4	1	2	2
1	0	5	8	2	2	2
0	2	7	5	2	0	0
0	1	3	3	0	2	3
2	2	7	5	2	1	4
1	1	6	3	4	2	3
0	1	4	4	5	0	0
0	1	9	4	2	1	0
2	1	7	2	3	1	4
1	0	7	5	3	3	2
1	0	10	4	2	3	2
0	0	4	5	5	2	3
1	1	10	5	1	4	0
0	1	8	4	2	5	2
1	2	4	3	2	1	0
0	2	7	3	4	1	2
1	1	6	4	3	2	2
0	2	5	3	1	1	1
0	0	6	2	3	1	1
1	2	8	4	7	2	5
0	1	2	6	4	1	3
1	1	5	1	2	2	2
0	1	4	3	2	0	0
1	0	7	5	2	1	2
0	1	4	5	6	2	2
1	4	6	4	1	3	1
1	1	10	3	0	3	2
0	1	3	4	3	0	0
0	1	8	3	3	2	3
0	2	9	0	2	3	3
0	1	6	1	1	0	2
2	1	4	5	1	0	0
2	2	6	7	0	6	4
0	0	9	1	2	2	3
0	2	3	4	2	4	7
0	1	6	4	5	3	1
1	0	5	2	2	2	1
0	1	9	2	4	1	2
1	1	6	4	1	0	1
0	0	11	4	2	2	3
0	2	12	4	5	1	1
0	3	4	5	7	2	1
0	1	6	1	1	2	0
1	2	6	2	1	2	2
0	1	4	4	3	6	2
1	1	5	1	0	2	2
0	0	9	4	7	3	2
0	2	6	2	2	3	0
0	0	5	3	2	0	4
3	0	7	4	1	2	3
1	1	6	6	2	2	5
0	1	7	6	6	1	2
2	2	11	2	2	3	2
1	1	6	5	4	1	7
0	3	7	6	1	0	2
0	1	5	2	4	1	4
3	1	11	3	5	1	3
0	0	4	2	3	3	3
0	2	5	6	1	2	1
1	2	3	4	0	2	3
1	2	7	4	4	0	2
0	2	6	2	4	0	2
1	2	12	2	1	1	1
1	0	8	3	3	4	1
1	0	7	1	2	0	5
0	1	4	2	1	4	5
0	1	8	5	3	1	5
1	0	8	1	0	4	2
0	0	10	2	3	0	3
0	1	5	1	2	1	5
1	1	6	1	4	5	0
0	2	6	3	0	2	4
1	0	5	1	3	1	2
1	1	5	2	2	2	4
1	0	4	3	2	3	3
0	1	4	6	3	2	1
0	1	6	3	2	0	1
0	0	1	3	1	1	2
2	0	10	2	2	2	1
0	1	7	1	1	2	4
0	2	6	4	0	3	3
0	1	2	5	2	3	0
1	0	11	3	0	1	2
1	0	5	4	1	1	5
0	2	2	4	5	2	5
1	0	5	3	3	0	4
0	2	2	4	1	3	1
1	1	13	2	1	1	2
0	1	7	2	5	1	4
0	1	5	3	2	0	3
0	1	6	0	4	2	5
0	2	10	1	3	1	1
0	0	7	5	2	2	4
1	1	6	3	2	4	1
1	1	9	0	1	1	2
0	0	9	4	3	1	3
0	2	8	2	3	3	3
2	0	3	3	1	3	1
1	3	5	3	4	1	2
0	1	7	4	1	2	1
0	1	7	3	0	1	3
0	1	7	3	3	1	3
1	1	8	5	2	3	1
0	2	8	6	2	1	3
1	3	11	1	1	2	0
0	0	4	4	4	2	0
1	2	1	1	4	0	1
0	1	10	5	2	2	2
0	1	11	1	0	2	4
0	0	6	7	1	2	1
0	2	7	3	2	3	4
0	0	6	1	3	1	2
0	1	6	4	4	0	0
0	2	11	3	2	4	3
1	2	10	2	1	2	2
0	1	4	3	1	3	2
0	2	6	2	2	3	3
0	2	6	0	1	4	3
1	1	5	1	6	2	4
0	1	9	2	3	3	2
0	0	10	2	2	2	3
1	1	5	1	3	1	1
1	3	9	6	6	2	4
0	3	10	3	7	1	2
0	1	7	3	5	1	3
0	0	11	1	1	1	2
1	0	6	3	2	2	1
1	2	8	4	1	4	3
2	1	10	3	3	1	4
1	1	5	2	4	1	2
0	2	5	3	1	0	3
0	0	5	5	2	1	3
0	3	5	3	2	4	3
1	0	14	0	5	5	0
1	0	7	2	2	3	5
1	1	10	7	2	4	3
1	2	6	4	2	2	3
0	0	13	4	2	0	1
2	0	5	4	0	0	3
2	0	11	4	3	1	3
1	0	5	2	2	3	1
0	0	6	5	1	0	1
0	0	4	4	3	1	6
0	0	7	3	2	1	3
0	3	10	0	3	2	1
1	0	8	3	1	0	3
0	1	2	2	4	1	2
0	1	9	3	2	1	3
0	1	1	4	2	3	1
0	0	4	4	1	2	2
0	1	3	6	0	3	3
2	0	6	3	1	3	1
1	0	5	1	1	0	4
0	0	9	5	4	2	1
0	2	3	7	6	0	1
0	1	4	5	0	0	1
2	0	6	3	2	1	1
0	0	3	1	1	1	3
0	0	4	4	3	3	5
0	1	8	2	1	3	5
0	0	11	3	2	2	3
1	1	9	5	1	0	1
0	0	6	2	5	3	3
1	1	8	4	2	0	4
1	0	10	7	3	2	2
0	1	6	3	2	4	4
0	3	8	7	1	1	4
0	1	10	2	1	2	3
0	0	9	4	7	0	2
0	0	9	3	1	1	4
1	1	4	4	2	0	1
0	1	2	2	2	1	1
0	1	6	3	1	3	1
1	2	7	1	4	2	3
1	0	4	1	2	1	5
0	3	10	7	1	1	3
0	1	11	3	3	1	1
0	1	2	3	4	3	1
0	1	3	2	2	2	2
1	4	5	0	2	3	2
3	2	4	0	4	2	5
2	2	5	0	3	3	3
2	0	5	1	2	2	4
0	1	4	4	2	1	2
0	2	11	4	2	1	1
1	2	7	4	3	2	1
0	1	7	3	5	2	2
1	0	5	3	1	2	3
2	1	9	3	0	0	4
0	0	5	7	3	0	2
0	0	7	7	1	1	3
1	1	7	3	0	1	2
0	1	6	4	1	4	2
